  Task 220/300 | acc=0.6666  dead=0.9100  erank=  6.251  gns=  0.8247  wd=25.2509
  Task 240/300 | acc=0.7534  dead=0.9150  erank=  7.759  gns=  0.9006  wd=27.2314
  Task 260/300 | acc=0.6995  dead=0.9050  erank=  7.258  gns=  0.2833  wd=26.7559
  Task 280/300 | acc=0.7027  dead=0.9250  erank=  6.089  gns=  1.2621  wd=28.5901
  Task 300/300 | acc=0.7463  dead=0.9000  erank=  9.163  gns=  0.9414  wd=29.2670
  Seed 1 done in 237s | dead_init=0.1000 dead_t1=0.0650 task1_acc=0.9354 | acc_first20=0.9162 acc_last20=0.6978 drop=21.84pp t_collapse=112

--- Seed 2 ---
  sanity: ce_init=2.3057 (exp 2.3026) PASS  dead_init=0.1000
  Task   1/300 | acc=0.9309  dead=0.0750  erank= 35.788  gns=  1.0973  wd=1.6353
  Task   2/300 | acc=0.9337  dead=0.2700  erank= 39.074  gns=  2.2786  wd=2.8430
  Task   3/300 | acc=0.9339  dead=0.3650  erank= 40.313  gns=  1.3115  wd=3.7554
  Task   4/300 | acc=0.9089  dead=0.5300  erank= 30.908  gns=  1.0831  wd=4.3457
  Task   5/300 | acc=0.9209  dead=0.5350  erank= 29.094  gns=  1.6685  wd=4.9820
  Task  20/300 | acc=0.8998  dead=0.7250  erank= 20.886  gns=  3.0678  wd=8.7246
  Task  40/300 | acc=0.9026  dead=0.7000  erank= 24.635  gns=  1.1067  wd=11.7685
  Task  60/300 | acc=0.8800  dead=0.7550  erank= 21.280  gns=  0.8551  wd=12.7202
  Task  80/300 | acc=0.8328  dead=0.8650  erank=  9.468  gns=  2.8647  wd=18.8897
  Task 100/300 | acc=0.8442  dead=0.7800  erank= 18.152  gns=  0.6578  wd=19.0007
  Task 120/300 | acc=0.8664  dead=0.8350  erank= 15.249  gns=  0.8332  wd=20.8839
  Task 140/300 | acc=0.8756  dead=0.7700  erank= 16.577  gns=  1.2556  wd=20.5537
  Task 160/300 | acc=0.8040  dead=0.8750  erank=  8.982  gns=  2.3369  wd=23.3248
  Task 180/300 | acc=0.8359  dead=0.8450  erank= 11.685  gns=  0.7253  wd=23.6445
  Task 200/300 | acc=0.7736  dead=0.8800  erank= 11.036  gns=  0.7310  wd=22.9386
  Task 220/300 | acc=0.6424  dead=0.9300  erank=  4.892  gns=  0.7438  wd=26.2092
  Task 240/300 | acc=0.7264  dead=0.9050  erank=  6.483  gns=  0.4553  wd=25.6848
