Device: cuda
============================================================
Grokking Baseline — probe run
P=97, seed=42, train_frac=0.4
Arch: d_model=128, n_heads=4, mlp_hidden=512
Optim: AdamW, LR=0.001, WD=0.001, BS=512
Max steps: 100000
============================================================
Train size: 3763, Val size: 5646

Sanity — init val CE: 4.7514  (expected ~4.5747)
Sanity — init weight norm: 117.4293
step= 24500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.1407 | wnorm=560.173 | 153s
step= 25000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=13.2285 | wnorm=579.417 | 156s
step= 25500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.006 val_loss=13.1573 | wnorm=598.659 | 159s
step= 26000 | tr_acc=0.998 tr_loss=0.0061 | val_acc=0.003 val_loss=32.7391 | wnorm=601.430 | 162s
step= 26500 | tr_acc=0.996 tr_loss=0.0180 | val_acc=0.002 val_loss=42.6787 | wnorm=601.216 | 165s
step= 27000 | tr_acc=0.995 tr_loss=0.0287 | val_acc=0.002 val_loss=53.0353 | wnorm=601.003 | 168s
step= 27500 | tr_acc=0.995 tr_loss=0.0357 | val_acc=0.002 val_loss=61.6652 | wnorm=600.770 | 171s
step= 28000 | tr_acc=1.000 tr_loss=0.0021 | val_acc=0.002 val_loss=69.8914 | wnorm=600.547 | 174s
step= 28500 | tr_acc=0.993 tr_loss=0.0442 | val_acc=0.003 val_loss=76.6830 | wnorm=600.339 | 177s
step= 29000 | tr_acc=0.999 tr_loss=0.0017 | val_acc=0.002 val_loss=83.7038 | wnorm=600.098 | 180s
step= 29500 | tr_acc=0.994 tr_loss=0.0431 | val_acc=0.002 val_loss=88.0499 | wnorm=599.820 | 183s
step= 30000 | tr_acc=0.996 tr_loss=0.0162 | val_acc=0.003 val_loss=94.6505 | wnorm=599.524 | 186s
step= 30500 | tr_acc=0.999 tr_loss=0.0065 | val_acc=0.002 val_loss=103.2468 | wnorm=599.279 | 190s
step= 31000 | tr_acc=0.997 tr_loss=0.0116 | val_acc=0.003 val_loss=110.0092 | wnorm=599.039 | 193s
step= 31500 | tr_acc=0.998 tr_loss=0.0083 | val_acc=0.002 val_loss=118.9155 | wnorm=598.795 | 196s
step= 32000 | tr_acc=0.999 tr_loss=0.0021 | val_acc=0.001 val_loss=123.6787 | wnorm=598.532 | 199s
step= 32500 | tr_acc=0.999 tr_loss=0.0167 | val_acc=0.002 val_loss=129.3589 | wnorm=598.261 | 202s
step= 33000 | tr_acc=0.999 tr_loss=0.0083 | val_acc=0.001 val_loss=135.7436 | wnorm=597.977 | 205s
step= 33500 | tr_acc=1.000 tr_loss=0.0015 | val_acc=0.003 val_loss=139.4079 | wnorm=597.690 | 208s
step= 34000 | tr_acc=0.998 tr_loss=0.0207 | val_acc=0.002 val_loss=144.9775 | wnorm=597.437 | 211s
step= 34500 | tr_acc=0.997 tr_loss=0.0205 | val_acc=0.002 val_loss=150.6350 | wnorm=597.188 | 214s
step= 35000 | tr_acc=0.999 tr_loss=0.0040 | val_acc=0.003 val_loss=152.6861 | wnorm=596.950 | 217s
step= 35500 | tr_acc=1.000 tr_loss=0.0002 | val_acc=0.003 val_loss=156.0376 | wnorm=596.767 | 220s
step= 36000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=155.1534 | wnorm=596.522 | 224s
step= 36500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.002 val_loss=154.9788 | wnorm=596.259 | 227s
step= 37000 | tr_acc=0.996 tr_loss=0.0391 | val_acc=0.004 val_loss=149.7118 | wnorm=596.076 | 230s
step= 37500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=154.5098 | wnorm=595.815 | 233s
step= 38000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.003 val_loss=152.5138 | wnorm=595.555 | 236s
step= 38500 | tr_acc=0.997 tr_loss=0.0200 | val_acc=0.003 val_loss=156.3864 | wnorm=595.316 | 239s
step= 39000 | tr_acc=0.999 tr_loss=0.0011 | val_acc=0.005 val_loss=162.8425 | wnorm=595.052 | 242s
step= 39500 | tr_acc=0.998 tr_loss=0.0137 | val_acc=0.003 val_loss=166.4581 | wnorm=594.786 | 245s
step= 40000 | tr_acc=1.000 tr_loss=0.0003 | val_acc=0.002 val_loss=167.5751 | wnorm=594.487 | 248s
step= 40500 | tr_acc=0.999 tr_loss=0.0040 | val_acc=0.003 val_loss=173.9708 | wnorm=594.241 | 251s
step= 41000 | tr_acc=0.999 tr_loss=0.0031 | val_acc=0.003 val_loss=173.5121 | wnorm=594.021 | 254s
step= 41500 | tr_acc=0.999 tr_loss=0.0095 | val_acc=0.003 val_loss=172.1686 | wnorm=593.711 | 258s
step= 42000 | tr_acc=0.999 tr_loss=0.0068 | val_acc=0.005 val_loss=177.3610 | wnorm=593.461 | 261s
step= 42500 | tr_acc=0.999 tr_loss=0.0099 | val_acc=0.004 val_loss=173.2699 | wnorm=593.204 | 264s
step= 43000 | tr_acc=1.000 tr_loss=0.0018 | val_acc=0.004 val_loss=176.5929 | wnorm=593.026 | 267s
step= 43500 | tr_acc=0.998 tr_loss=0.0299 | val_acc=0.003 val_loss=176.6252 | wnorm=592.783 | 270s
step= 44000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.004 val_loss=176.7440 | wnorm=592.521 | 273s
step= 44500 | tr_acc=1.000 tr_loss=0.0004 | val_acc=0.004 val_loss=175.0459 | wnorm=592.298 | 276s
step= 45000 | tr_acc=0.999 tr_loss=0.0018 | val_acc=0.005 val_loss=175.1613 | wnorm=592.030 | 279s
step= 45500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=174.6602 | wnorm=591.799 | 283s
step= 46000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.005 val_loss=174.6158 | wnorm=591.540 | 289s
step= 46500 | tr_acc=0.999 tr_loss=0.0157 | val_acc=0.005 val_loss=172.9348 | wnorm=591.261 | 293s
step= 47000 | tr_acc=0.999 tr_loss=0.0032 | val_acc=0.005 val_loss=174.1121 | wnorm=591.022 | 297s
step= 47500 | tr_acc=0.999 tr_loss=0.0062 | val_acc=0.005 val_loss=172.9984 | wnorm=590.821 | 300s
step= 48000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.008 val_loss=170.1693 | wnorm=590.558 | 303s
step= 48500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.008 val_loss=170.3624 | wnorm=590.300 | 306s
step= 49000 | tr_acc=0.999 tr_loss=0.0109 | val_acc=0.006 val_loss=169.1635 | wnorm=590.106 | 310s
step= 49500 | tr_acc=0.999 tr_loss=0.0060 | val_acc=0.008 val_loss=170.1232 | wnorm=589.874 | 313s
step= 50000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.007 val_loss=171.8649 | wnorm=589.642 | 316s
step= 50500 | tr_acc=0.999 tr_loss=0.0167 | val_acc=0.008 val_loss=168.2313 | wnorm=589.356 | 320s
step= 51000 | tr_acc=1.000 tr_loss=0.0001 | val_acc=0.008 val_loss=167.1091 | wnorm=589.092 | 323s
step= 51500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.009 val_loss=168.2027 | wnorm=588.827 | 326s
step= 52000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.009 val_loss=168.1123 | wnorm=588.570 | 329s
step= 52500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.009 val_loss=168.9651 | wnorm=588.319 | 332s
step= 53000 | tr_acc=1.000 tr_loss=0.0055 | val_acc=0.009 val_loss=167.5684 | wnorm=588.053 | 335s
step= 53500 | tr_acc=0.999 tr_loss=0.0036 | val_acc=0.011 val_loss=165.1852 | wnorm=587.791 | 338s
step= 54000 | tr_acc=0.998 tr_loss=0.0174 | val_acc=0.010 val_loss=163.0288 | wnorm=587.575 | 341s
step= 54500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.010 val_loss=164.1358 | wnorm=587.296 | 344s
step= 55000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.010 val_loss=164.3809 | wnorm=587.040 | 348s
step= 55500 | tr_acc=0.998 tr_loss=0.0300 | val_acc=0.009 val_loss=164.7740 | wnorm=586.780 | 351s
step= 56000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.009 val_loss=165.5435 | wnorm=586.539 | 354s
step= 56500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.009 val_loss=165.5973 | wnorm=586.283 | 357s
step= 57000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.011 val_loss=160.8839 | wnorm=586.113 | 360s
step= 57500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.011 val_loss=160.7737 | wnorm=585.858 | 363s
step= 58000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.012 val_loss=159.8590 | wnorm=585.610 | 366s
step= 58500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.010 val_loss=158.7977 | wnorm=585.394 | 369s
step= 59000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.010 val_loss=158.5676 | wnorm=585.137 | 373s
step= 59500 | tr_acc=0.999 tr_loss=0.0171 | val_acc=0.013 val_loss=157.5385 | wnorm=584.953 | 376s
step= 60000 | tr_acc=0.999 tr_loss=0.0077 | val_acc=0.013 val_loss=162.5455 | wnorm=584.784 | 379s
step= 60500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.014 val_loss=165.6746 | wnorm=584.493 | 382s
step= 61000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=165.5396 | wnorm=584.237 | 385s
step= 61500 | tr_acc=0.999 tr_loss=0.0067 | val_acc=0.012 val_loss=159.0937 | wnorm=584.046 | 388s
step= 62000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.012 val_loss=164.7303 | wnorm=583.784 | 391s
step= 62500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.012 val_loss=164.4565 | wnorm=583.529 | 394s
step= 63000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.013 val_loss=156.0437 | wnorm=583.294 | 397s
step= 63500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.011 val_loss=158.0658 | wnorm=582.980 | 400s
step= 64000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.011 val_loss=157.9698 | wnorm=582.725 | 403s
step= 64500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.011 val_loss=155.4015 | wnorm=582.478 | 407s
step= 65000 | tr_acc=1.000 tr_loss=0.0044 | val_acc=0.014 val_loss=157.5049 | wnorm=582.228 | 410s
step= 65500 | tr_acc=0.999 tr_loss=0.0030 | val_acc=0.012 val_loss=158.7262 | wnorm=581.978 | 413s
step= 66000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.012 val_loss=160.6367 | wnorm=581.809 | 416s
step= 66500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.011 val_loss=159.6596 | wnorm=581.557 | 420s
step= 67000 | tr_acc=0.999 tr_loss=0.0137 | val_acc=0.015 val_loss=156.0107 | wnorm=581.316 | 423s
step= 67500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=153.7070 | wnorm=581.060 | 427s
step= 68000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=152.4822 | wnorm=580.811 | 430s
step= 68500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.013 val_loss=150.0406 | wnorm=580.570 | 433s
step= 69000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.013 val_loss=149.8947 | wnorm=580.318 | 436s
step= 69500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.014 val_loss=141.1243 | wnorm=580.086 | 439s
step= 70000 | tr_acc=0.999 tr_loss=0.0090 | val_acc=0.015 val_loss=146.4397 | wnorm=579.792 | 442s
step= 70500 | tr_acc=0.999 tr_loss=0.0028 | val_acc=0.011 val_loss=152.2466 | wnorm=579.583 | 445s
step= 71000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=154.3194 | wnorm=579.336 | 448s
step= 71500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.016 val_loss=153.7984 | wnorm=579.084 | 452s
step= 72000 | tr_acc=0.999 tr_loss=0.0042 | val_acc=0.015 val_loss=149.6788 | wnorm=578.958 | 456s
step= 72500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=150.0766 | wnorm=578.687 | 459s
step= 73000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.015 val_loss=148.2927 | wnorm=578.438 | 462s
step= 73500 | tr_acc=1.000 tr_loss=0.0008 | val_acc=0.015 val_loss=142.0426 | wnorm=578.199 | 465s
step= 74000 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=148.4156 | wnorm=577.966 | 468s
step= 74500 | tr_acc=1.000 tr_loss=0.0000 | val_acc=0.018 val_loss=148.2901 | wnorm=577.716 | 472s
